id,name,born,unique_category,unique_year,gender,country_name
904,May-Britt Moser,1963-01-04,medicine,2014,female,Norway
905,Edvard I. Moser,1962-04-27,medicine,2014,male,Norway
906,Isamu Akasaki,1929-01-30,physics,2014,male,Japan
907,Hiroshi Amano,1960-09-11,physics,2014,male,Japan
908,Shuji Nakamura,1954-05-22,physics,2014,male,Japan
909,Eric Betzig,1960-01-13,chemistry,2014,male,USA
910,Stefan W. Hell,1962-12-23,chemistry,2014,male,Romania
911,William E. Moerner,1953-06-24,chemistry,2014,male,USA
912,Patrick Modiano,1945-07-30,literature,2014,male,France
913,Kailash Satyarthi,1954-01-11,peace,2014,male,India
914,Malala Yousafzai,1997-07-12,peace,2014,female,Pakistan
915,Jean Tirole,1953-08-09,economics,2014,male,France
916,William C. Campbell,1930-06-28,medicine,2015,male,Ireland
917,Satoshi Ōmura,1935-07-12,medicine,2015,male,Japan
918,Youyou Tu,1930-12-30,medicine,2015,female,Tibet
919,Takaaki Kajita,1959-03-09,physics,2015,male,Japan
920,Arthur B. McDonald,1943-08-29,physics,2015,male,Canada
921,Tomas Lindahl,1938-01-28,chemistry,2015,male,Sweden
922,Paul Modrich,1946-06-13,chemistry,2015,male,USA
923,Aziz Sancar,1946-09-08,chemistry,2015,male,Turkey
924,Svetlana Alexievich,1948-05-31,literature,2015,female,Ukraine
925,National Dialogue Quartet ,,peace,2015,org,
926,Angus Deaton,1945-10-19,economics,2015,male,United Kingdom
927,Yoshinori Ohsumi,1945-02-09,medicine,2016,male,Japan
928,David J. Thouless,1934-09-21,physics,2016,male,United Kingdom
929,F. Duncan M. Haldane,1951-09-14,physics,2016,male,United Kingdom
930,J. Michael Kosterlitz,1943-06-22,physics,2016,male,United Kingdom
931,Jean-Pierre Sauvage,1944-10-21,chemistry,2016,male,France
932,Sir J. Fraser Stoddart,1942-05-24,chemistry,2016,male,United Kingdom
933,Bernard L. Feringa,1951-05-18,chemistry,2016,male,the Netherlands
934,Juan Manuel Santos,1951-08-10,peace,2016,male,Colombia
935,Oliver Hart,1948-10-09,economics,2016,male,United Kingdom
936,Bengt Holmström,1949-04-18,economics,2016,male,Finland
937,Bob Dylan,1941-05-24,literature,2016,male,USA
938,Jeffrey C. Hall,1945-05-03,medicine,2017,male,USA
939,Michael Rosbash,1944-03-07,medicine,2017,male,USA
940,Michael W. Young,1949-03-28,medicine,2017,male,USA
941,Rainer Weiss,1932-09-29,physics,2017,male,Württemberg
942,Barry C. Barish,1936-01-27,physics,2017,male,USA
943,Kip S. Thorne,1940-06-01,physics,2017,male,USA
944,Jacques Dubochet,1942-06-08,chemistry,2017,male,Switzerland
945,Joachim Frank,1940-09-12,chemistry,2017,male,Württemberg
946,Richard Henderson,1945-07-19,chemistry,2017,male,United Kingdom
947,Kazuo Ishiguro,1954-11-08,literature,2017,male,Japan
948,International Campaign to Abolish Nuclear Weapons ,2007-00-00,peace,2017,org,
949,Richard H. Thaler,1945-09-12,economics,2017,male,USA
958,James P. Allison,1948-08-07,medicine,2018,male,USA
959,Tasuku Honjo,1942-01-27,medicine,2018,male,Japan
960,Arthur Ashkin,1922-09-02,physics,2018,male,USA
961,Gérard Mourou,1944-06-22,physics,2018,male,France
962,Donna Strickland,1959-05-27,physics,2018,female,Canada
963,Frances H. Arnold,1956-07-25,chemistry,2018,female,USA
964,George P. Smith,1941-03-10,chemistry,2018,male,USA
965,Sir Gregory P. Winter,1951-04-14,chemistry,2018,male,United Kingdom
966,Denis Mukwege,1955-03-01,peace,2018,male,Democratic Republic of the Congo
967,Nadia Murad,1993-00-00,peace,2018,female,Iraq
968,William D. Nordhaus,1941-05-31,economics,2018,male,USA
969,Paul M. Romer,1955-00-00,economics,2018,male,USA
970,William Kaelin,1957-11-23,medicine,2019,male,USA
971,Peter Ratcliffe,1954-05-14,medicine,2019,male,United Kingdom
972,Gregg Semenza,1956-07-12,medicine,2019,male,USA
973,James Peebles,1935-04-25,physics,2019,male,Canada
974,Michel Mayor,1942-01-12,physics,2019,male,Switzerland
975,Didier Queloz,1966-02-23,physics,2019,male,Switzerland
976,John Goodenough,1922-07-25,chemistry,2019,male,Württemberg
977,M. Stanley Whittingham,1941-12-22,chemistry,2019,male,United Kingdom
978,Akira Yoshino,1948-01-30,chemistry,2019,male,Japan
979,Olga Tokarczuk,1962-01-29,literature,2018,female,Prussia
980,Peter Handke,1942-12-06,literature,2019,male,Austria
981,Abiy Ahmed Ali,1976-08-15,peace,2019,male,Ethiopia
982,Abhijit Banerjee,1961-02-21,economics,2019,male,India
983,Esther Duflo,1972-10-25,economics,2019,female,France
984,Michael Kremer,1964-11-12,economics,2019,male,USA
985,Harvey Alter,1935-09-12,medicine,2020,male,USA
986,Michael Houghton,1949-00-00,medicine,2020,male,United Kingdom
987,Charles Rice,1952-08-25,medicine,2020,male,USA
988,Roger Penrose,1931-08-08,physics,2020,male,United Kingdom
989,Reinhard Genzel,1952-03-24,physics,2020,male,Württemberg
990,Andrea Ghez,1965-06-16,physics,2020,female,USA
991,Emmanuelle Charpentier,1968-12-11,chemistry,2020,female,France
992,Jennifer A. Doudna,1964-02-19,chemistry,2020,female,USA
993,Louise Glück,1943-04-22,literature,2020,female,USA
994,World Food Programme ,1961-00-00,peace,2020,org,
995,Paul Milgrom,1948-04-20,economics,2020,male,USA
996,Robert Wilson,1937-05-16,economics,2020,male,USA
997,David Julius,1955-11-04,medicine,2021,male,USA
998,Ardem Patapoutian,1967-00-00,medicine,2021,male,Lebanon
999,Syukuro Manabe,1931-09-21,physics,2021,male,Japan
1000,Klaus Hasselmann,1931-10-25,physics,2021,male,Württemberg
1001,Giorgio Parisi,1948-08-04,physics,2021,male,Tuscany
1002,Benjamin List,1968-01-11,chemistry,2021,male,Württemberg
1003,David MacMillan,1968-03-16,chemistry,2021,male,United Kingdom
1004,Abdulrazak Gurnah,1948-00-00,literature,2021,male,
1005,Maria Ressa,1963-10-02,peace,2021,female,Philippines
1006,Dmitry Muratov,1961-00-00,peace,2021,male,USSR
1007,David Card,1956-00-00,economics,2021,male,Canada
1008,Joshua Angrist,1960-09-18,economics,2021,male,USA
1009,Guido Imbens,1963-09-03,economics,2021,male,the Netherlands
1011,Svante Pääbo,1955-04-20,medicine,2022,male,Sweden
1012,Alain Aspect,1947-06-15,physics,2022,male,France
1013, ,1942-12-01,physics,2022,male,USA
1014,Anton Zeilinger,1945-05-20,physics,2022,male,Austria
1015,Carolyn Bertozzi,1966-10-10,chemistry,2022,female,USA
1016,Morten Meldal,1954-00-00,chemistry,2022,male,Faroe Islands (Denmark)
1017,Annie Ernaux,1940-09-01,literature,2022,female,France
1018,Ales Bialiatski ,1962-09-25,peace,2022,male,USSR
1019,Memorial ,1987-00-00,peace,2022,org,
1020,Center for Civil Liberties ,2007-00-00,peace,2022,org,
1021,Ben Bernanke,1953-12-13,economics,2022,male,USA
1022,Douglas Diamond,1953-00-00,economics,2022,male,
1023,Philip Dybvig,1955-05-22,economics,2022,male,
