id,name,born,unique_category,unique_year,gender,country_name
182,Richard Zsigmondy,1865-04-01,chemistry,1925,male,Austria
183,The Svedberg,1884-08-30,chemistry,1926,male,Sweden
184,Heinrich Wieland,1877-06-04,chemistry,1927,male,Württemberg
185,Adolf Windaus,1876-12-25,chemistry,1928,male,Württemberg
186,Arthur Harden,1865-10-12,chemistry,1929,male,United Kingdom
187,Hans von Euler-Chelpin,1873-02-15,chemistry,1929,male,Württemberg
188,Hans Fischer,1881-07-27,chemistry,1930,male,Württemberg
189,Carl Bosch,1874-08-27,chemistry,1931,male,Württemberg
190,Friedrich Bergius,1884-10-11,chemistry,1931,male,Prussia
191,Irving Langmuir,1881-01-31,chemistry,1932,male,USA
192,Harold C. Urey,1893-04-29,chemistry,1934,male,USA
193,Frédéric Joliot,1900-03-19,chemistry,1935,male,France
194,Irène Joliot-Curie,1897-09-12,chemistry,1935,female,France
195,Peter Debye,1884-03-24,chemistry,1936,male,the Netherlands
196,Norman Haworth,1883-03-19,chemistry,1937,male,United Kingdom
197,Paul Karrer,1889-04-21,chemistry,1937,male,USSR
198,Richard Kuhn,1900-12-03,chemistry,1938,male,Austria
199,Adolf Butenandt,1903-03-24,chemistry,1939,male,Württemberg
200,Leopold Ruzicka,1887-09-13,chemistry,1939,male,Croatia
201,George de Hevesy,1885-08-01,chemistry,1943,male,Hungary
202,Otto Hahn,1879-03-08,chemistry,1944,male,Württemberg
203,Artturi Virtanen,1895-01-15,chemistry,1945,male,Finland
204,James B. Sumner,1887-11-19,chemistry,1946,male,USA
205,John H. Northrop,1891-07-05,chemistry,1946,male,USA
206,Wendell M. Stanley,1904-08-16,chemistry,1946,male,USA
207,Sir Robert Robinson,1886-09-13,chemistry,1947,male,United Kingdom
208,Arne Tiselius,1902-08-10,chemistry,1948,male,Sweden
209,William F. Giauque,1895-05-12,chemistry,1949,male,Canada
210,Otto Diels,1876-01-23,chemistry,1950,male,Württemberg
211,Kurt Alder,1902-07-10,chemistry,1950,male,Prussia
212,Edwin M. McMillan,1907-09-18,chemistry,1951,male,USA
213,Glenn T. Seaborg,1912-04-19,chemistry,1951,male,USA
214,Archer J.P. Martin,1910-03-01,chemistry,1952,male,United Kingdom
215,Richard L.M. Synge,1914-10-28,chemistry,1952,male,United Kingdom
216,Hermann Staudinger,1881-03-23,chemistry,1953,male,Württemberg
217,Linus Pauling,1901-02-28,peace;chemistry,1962;1954,male,USA
218,Vincent du Vigneaud,1901-05-18,chemistry,1955,male,USA
219,Sir Cyril Hinshelwood,1897-05-19,chemistry,1956,male,United Kingdom
220,Nikolay Semenov,1896-04-03,chemistry,1956,male,USSR
221,Lord Todd,1907-10-02,chemistry,1957,male,United Kingdom
222,Frederick Sanger,1918-08-13,chemistry;chemistry,1958;1980,male,United Kingdom
223,Jaroslav Heyrovsky,1890-12-20,chemistry,1959,male,Hungarian Empire
224,Willard F. Libby,1908-12-17,chemistry,1960,male,USA
225,Melvin Calvin,1911-04-08,chemistry,1961,male,USA
226,Max F. Perutz,1914-05-19,chemistry,1962,male,Austria
227,John C. Kendrew,1917-03-24,chemistry,1962,male,United Kingdom
228,Karl Ziegler,1898-11-26,chemistry,1963,male,Württemberg
229,Giulio Natta,1903-02-26,chemistry,1963,male,Tuscany
230,Dorothy Crowfoot Hodgkin,1910-05-12,chemistry,1964,female,Egypt
231,Robert B. Woodward,1917-04-10,chemistry,1965,male,USA
232,Robert S. Mulliken,1896-06-07,chemistry,1966,male,USA
233,Manfred Eigen,1927-05-09,chemistry,1967,male,Württemberg
234,Ronald G.W. Norrish,1897-11-09,chemistry,1967,male,United Kingdom
235,George Porter,1920-12-06,chemistry,1967,male,United Kingdom
236,Lars Onsager,1903-11-27,chemistry,1968,male,Norway
237,Derek Barton,1918-09-08,chemistry,1969,male,United Kingdom
238,Odd Hassel,1897-05-17,chemistry,1969,male,Norway
239,Luis Leloir,1906-09-06,chemistry,1970,male,France
240,Gerhard Herzberg,1904-12-25,chemistry,1971,male,Württemberg
241,Christian Anfinsen,1916-03-26,chemistry,1972,male,USA
242,Stanford Moore,1913-09-04,chemistry,1972,male,USA
243,William H. Stein,1911-06-25,chemistry,1972,male,USA
244,Ernst Otto Fischer,1918-11-10,chemistry,1973,male,Württemberg
245,Geoffrey Wilkinson,1921-07-14,chemistry,1973,male,United Kingdom
246,Paul J. Flory,1910-06-19,chemistry,1974,male,USA
247,John Cornforth,1917-09-07,chemistry,1975,male,Australia
